index,Name,open,high,low,close,volume
390198,MSFT,27.35,27.71,27.31,27.55,33318306
390199,MSFT,27.65,27.92,27.5,27.86,32247549
390200,MSFT,27.88,28,27.75,27.88,35990829
390201,MSFT,27.93,28.11,27.88,28.03,41715530
390202,MSFT,27.92,28.06,27.87,28.04,32663174
390203,MSFT,28.04,28.16,27.875,28.01,49650538
390204,MSFT,27.8801,28.09,27.8,28.045,38804616
390205,MSFT,28.13,28.2,27.83,27.87,44109412
390206,MSFT,27.74,27.74,27.23,27.49,49078338
390207,MSFT,27.68,27.76,27.48,27.76,31425726
390208,MSFT,27.97,28.05,27.37,27.37,48011248
390209,MSFT,27.38,27.6,27.34,27.37,49917353
390210,MSFT,27.42,28,27.33,27.81,36390889
390211,MSFT,27.88,27.97,27.74,27.8,35836861
390212,MSFT,27.72,27.98,27.52,27.95,34849287
390213,MSFT,27.85,28.15,27.7,28.15,38163549
390214,MSFT,28.29,28.54,28.16,28.35,41431097
390215,MSFT,28.21,28.23,27.78,28.09,51448452
390216,MSFT,28.11,28.28,28.005,28.14,29196691
390217,MSFT,28.25,28.33,27.96,28,37667133
390218,MSFT,27.94,27.97,27.67,27.87,36627200
390219,MSFT,27.84,27.95,27.64,27.91,39252591
390220,MSFT,27.87,28.02,27.75,27.915,29093296
390221,MSFT,28,28.16,27.93,28.135,55910657
390222,MSFT,28.03,28.16,27.98,28.035,92709815
390223,MSFT,27.88,28.28,27.81,28.1,44825522
390224,MSFT,28.12,28.22,28.03,28.18,51901568
390225,MSFT,28.34,28.49,28.18,28.315,35447348
390226,MSFT,28.11,28.36,28.05,28.11,34233061
390227,MSFT,28.19,28.3379,28.1,28.25,28689434
390228,MSFT,28.3,28.35,27.96,28.16,44153931
390229,MSFT,28.24,28.34,28.11,28.155,27822154
390230,MSFT,28.14,28.445,28.08,28.37,36046203
390231,MSFT,28.32,28.66,28.26,28.605,55453713
390232,MSFT,28.64,28.66,28.36,28.61,29199115
390233,MSFT,28.59,28.85,28.52,28.8,28455715
390234,MSFT,28.75,28.95,28.54,28.56,35062269
390235,MSFT,28.39,28.61,28.27,28.595,45262208
390236,MSFT,28.22,28.78,28.11,28.7,50927261
390237,MSFT,28.73,28.73,28.47,28.59,34759424
390238,MSFT,28.73,29.815,28.68,29.61,77733607
390239,MSFT,29.57,30.32,29.52,30.28,71024236
390240,MSFT,29.1,29.2,28.73,28.935,130903838
390241,MSFT,28.85,29.02,28.66,28.79,62882640
390242,MSFT,28.65,28.98,28.51,28.69,56332862
390243,MSFT,28.9,29.14,28.695,28.97,52795256
390244,MSFT,28.85,29.04,28.6,28.825,52840621
390245,MSFT,28.95,28.98,28.5,28.79,56772087
390246,MSFT,29.62,30.24,29.61,29.765,99790116
390247,MSFT,30.3,31.18,30.27,30.83,137901279
390248,MSFT,30.7,30.9,30.38,30.6,59027213
390249,MSFT,30.62,31.92,30.6,31.76,90897055
390250,MSFT,31.71,32.84,31.54,31.94,110685794
390251,MSFT,31.9,31.98,31.45,31.79,47799284
390252,MSFT,31.8,32.68,31.77,32.61,59116288
390253,MSFT,32.56,33.11,32.28,33.1,75116271
390254,MSFT,32.93,33.08,32.6,32.72,54328805
390255,MSFT,32.63,33.17,32.39,33.16,46055944
390256,MSFT,33.23,33.52,33.08,33.49,46784484
390257,MSFT,33.42,33.91,33.25,33.75,40978078
390258,MSFT,33.65,33.79,33.24,33.31,42916453
390259,MSFT,33.0667,33.24,32.65,32.99,51643216
390260,MSFT,32.85,33,32.59,32.66,46399199
390261,MSFT,32.67,32.72,32.32,32.69,36394841
390262,MSFT,32.61,33.07,32.55,33.03,36027027
390263,MSFT,32.8601,33.53,32.8,33.53,56867771
390264,MSFT,33.45,33.9,33.43,33.845,46303779
390265,MSFT,33.64,34.15,33.55,34.08,59381496
390266,MSFT,34.1301,34.87,34.1,34.87,60666467
390267,MSFT,34.73,35.095,34.68,35.08,54020102
390268,MSFT,35.1,35.2725,34.72,34.85,48693429
390269,MSFT,34.79,34.84,34.36,34.61,66043135
390270,MSFT,34.23,34.55,33.9,34.15,51102326
390271,MSFT,33.92,34.28,33.9,34.269,33174304
390272,MSFT,34.42,35.18,34.41,35.02,48211220
390273,MSFT,34.74,35.02,34.57,34.88,38411673
